rank,symbol,name,scan_theme,trade_group,parent_group,in_execution_pool,execution_theme,scan_rank_60d_dollar_volume,median_dollar_volume_60d,eligible,scan_score,mom20_pct,mom63_skip5_pct,mom126_skip5_pct,dollar_volume20,dollar_accel20_60_pct,obs
82,GLXY,Galaxy Digital Inc. - Class A common stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,707.0,125062457.97309875,True,0.4010058660135655,23.154483972571004,61.270003932115394,12.97113614893821,211262270.28007507,46.55404000155872,274
83,IONQ,"IonQ, Inc. Common Stock",quantum_compute,us_unclassified_stock,us_unclassified,False,,84.0,978484804.0737152,True,0.400880117607391,7.775867965384342,75.56767732857075,6.520946255160531,1865702399.381256,28.971468060152606,420
84,Q,"Qnity Electronics, Inc. Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,443.0,226470001.70440677,True,0.4004958447906728,10.415579678969177,39.31240082375223,75.36215994486157,259191058.75535583,14.353481863695517,162
85,CIEN,Ciena Corporation Common Stock,server_network,datacenter_networking,us_ai_hardware,True,server_network,72.0,1161695579.6478271,True,0.40047075487821315,-22.80986486361598,32.1794433302876,107.70701588209613,1665308615.4922485,32.01544991391059,420
86,NVT,nVent Electric plc Ordinary Shares,thermal_power,us_unclassified_stock,us_unclassified,True,thermal_power,347.0,288095322.1748352,True,0.39134788597246145,9.366121095355929,52.74160059765099,53.6707148649785,292064822.07870483,1.1016539298739358,420
87,AAON,"AAON, Inc. - Common Stock",thermal_power,us_unclassified_stock,us_unclassified,True,thermal_power,976.0,71148442.71240234,True,0.3851097953455916,2.212923770504416,47.94625672613524,57.748933252798686,140833105.65185547,20.553459404977502,420
88,NVMI,Nova Ltd. - Ordinary Shares,us_unclassified,us_unclassified_stock,us_unclassified,False,,583.0,164046241.9921875,True,0.38495012536335665,16.452441952944618,33.2079728238019,66.23692097376308,258482456.68945312,37.01706131595115,420
89,NXPI,NXP Semiconductors N.V. - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,127.0,735316888.2408142,True,0.3827224710636102,1.00596330117253,59.04201564871619,33.952384954356816,1225278027.2216797,30.140511656150217,420
90,CLSK,"CleanSpark, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,445.0,224973155.25636676,True,0.3812471367570517,11.948053234844803,69.31936914495161,8.888886605493628,337590795.8144188,23.19165262134584,420
91,GH,"Guardant Health, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,573.0,165871474.47509766,True,0.38039240542784114,14.621203253120175,55.79623795103621,26.82879087068757,275032574.9710083,32.99495096521894,420
92,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,270.0,369204351.7944336,True,0.37614817121077787,5.3424159354027445,40.58101837522128,66.63711700076982,472754427.90145874,16.25596414955204,420
93,ESI,Element Solutions Inc. Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,778.0,105721354.16259766,True,0.3749350270955197,13.366219693264458,42.63874360683238,63.13261859995918,106770924.1109848,-1.5033050216529231,420
94,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",us981a_ai_theme,cybersecurity,us_technology,True,us981a_ai_theme,57.0,1412893160.5499268,True,0.37457603063559464,5.34524938594938,56.61775058069725,33.50516532918311,2021001498.8586426,25.34274092760045,420
95,ENPH,"Enphase Energy, Inc. - Common Stock",energy_oil_gas,energy_oil_gas,us_energy_materials,False,,454.0,218767384.6488953,True,0.36942413946726543,-1.636881884487651,28.94366730680753,74.10460105701576,442691598.4208832,57.18989771306748,420
96,POET,POET Technologies Inc. - Common Shares,optical_communication,us_unclassified_stock,us_unclassified,False,,607.0,156610208.99891853,True,0.3647091522590444,-17.794317739897657,51.20967625641302,63.04347600738587,447153164.3928051,12.245554566516393,420
97,ENTG,"Entegris, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,285.0,347727577.8804779,True,0.36454598127303356,39.99217583765316,31.860522814528913,56.75640301322933,385135972.6097107,-0.7017306007261803,420
98,DVA,DaVita Inc. Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,729.0,118286421.19674684,True,0.3582107261297981,5.607765946430909,33.170002013769405,74.70644127027097,139135821.38061523,10.964081999296482,420
99,DAVE,Dave Inc.  - Class A Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,785.0,103723416.11938477,True,0.35671291091840795,28.97456870607662,34.099123556974554,46.60742159150366,158314845.88012695,28.79916352111007,420
100,JBHT,"J.B. Hunt Transport Services, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,493.0,199066714.7827148,True,0.355085032534618,3.1725487610244185,44.02538496548243,52.952584253319856,248480946.74987793,18.244242034598646,420
101,SAIA,"Saia, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,543.0,179108659.375,True,0.353750370199598,-6.720690724264355,54.28028967488123,47.774919965995096,191229773.13232422,3.49314819617339,420
102,MCHP,Microchip Technology Incorporated - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,123.0,746440594.046402,True,0.3520257143001563,6.648321957395331,48.902391986980184,40.548177757707585,1057066645.6295013,17.297862049685754,420
103,APLD,Applied Digital Corporation - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,155.0,617640243.2275772,True,0.3509136900073298,17.889675133936713,50.90975950332308,26.548674523677953,917006312.727356,19.66873566530758,420
104,CASY,"Caseys General Stores, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,313.0,314924031.59484863,True,0.34941460535833013,-1.2035060759516103,36.07927230925099,62.94500629970625,447164892.05322266,32.10237636933824,420
105,JEF,Jefferies Financial Group Inc. Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,767.0,108333002.27413176,True,0.3455264829992898,20.34883781104384,66.9084567069789,1.664046763803495,102253386.5076065,-0.4193647137116785,420
106,CLF,Cleveland-Cliffs Inc. Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,626.0,149944386.2080574,True,0.3365110643352142,18.762084639793343,53.69955068255068,10.653750268341167,239202100.65727234,30.704541313296517,420
107,QCOM,QUALCOMM Incorporated - Common Stock,us981a_ai_theme,asic_network_chip,us_semiconductor,True,us981a_ai_theme,55.0,1511732939.7472382,True,0.33595895800647907,11.653748824095178,54.75411068189746,16.058578349956587,4841191142.669678,26.111516414858627,420
108,URI,"United Rentals, Inc. Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,233.0,429304889.932251,True,0.33228355764532513,15.01063113532808,45.90728585447428,35.85371808305153,495276082.59277344,6.045213821905948,420
109,M,Macy's Inc Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,750.0,112114776.15003586,True,0.33194635887109236,20.699996948242205,46.36881412080533,12.194775399782865,171972668.24817657,51.399762931526794,420
110,ILMN,"Illumina, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,516.0,189358155.0567627,True,0.33147328499947043,14.099488983233721,43.83005384678358,25.792780270674022,293994711.6333008,41.557114045791835,420
111,ADI,"Analog Devices, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,66.0,1237227626.7791748,True,0.3311240263341269,9.147093274387096,34.12634478418748,49.65987992789556,2056866571.4889526,35.11158843677023,420
112,SEI,"Solaris Energy Infrastructure, Inc. Class A Common Stock",energy_oil_gas,energy_oil_gas,us_energy_materials,False,,615.0,153347733.5521698,True,0.32706729716378347,15.997201950135253,42.58390831565349,41.97238716935758,154414063.13972473,-1.485662080321748,420
113,GNRC,Generac Holdlings Inc. Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,554.0,173837576.1604309,True,0.3165331066098542,13.850479675733784,26.08034241887911,60.72074548204611,218414325.440979,19.668742668315353,420
